Country;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Liechtenstein;50;53;;29;;20;;;37;;;;;21;27;;
Lithuania;;266;234;;240;;234;;203;;;329;;268;;;235
Luxembourg;85;;;144;167;155;;;19;;;122;;112;;;107
Macau ;197;;197;199;;;161;;;276;;;;195;;;208
Macedonia ;61;78;;;99;;107;;139;;;147;;;;;141
Madagascar;;109;;107;91;;;;170;;;83;;;;82;
Malawi;76;70;;74;;78;;;114;122;;73;;;;80;
Malaysia;125;;174;141;;192;;;93;;;132;;171;;177;
Maldives;;;343;;;;;;73;;;341;;;;499;
Mali;35;;33;;;;;;138;;;33;33;;;;
Malta;73;72;;;86;95;;;;;;145;;135;;133;
Marshall Is.;;;;73;78;;;52;;36;;66;66;;;;
Martinique ;173;164;169;;163;191;;;140;;;223;;240;;;211
Mauritania;50;41;;26;;;;;68;;;44;;;46;;
Mauritius;203;214;;205;;;171;;;225;;202;;155;;;194
Mayotte ;;95;85;;57;85;;;50;;;85;;74;;;118
Mexico;;;182;;196;;207;182;;;;210;;212;;;164
Moldova;287;301;;96;;;;;200;;;188;;215;;;212
Mongolia;279;;246;;244;;;;;178;;266;;;;102;
Montenegro;104;108;;;;;;70;;;;208;;;180;;
Morocco;176;;174;;167;;;;269;;;220;;222;;;232
Mozambique;;;;;;53;;;227;;;61;;;;61;
Myanmar;;;120;;;194;;;189;;;113;;;;145;
Namibia;;;;23;;;;;65;;;;;144;295;;
Nauru;;48;;23;;;24;120;;;;140;140;;;;
Nepal;29;;;26;;;100;;186;191;;59;;;;65;
Netherlands;100;;123;;128;133;;;139;;;69;;;;61;
New Caledonia ;139;139;122;;131;;185;;;36;;152;;175;;;193
New Zealand;155;;168;;186;133;;;94;;;192;;194;;;214
Nicaragua;;;100;98;46;;;;;;;171;;;;276;
Niger;54;;;;46;28;119;;;199;;39;;53;;;
Nigeria;34;;31;30;;;88;;;;;32;;;;;37
Northern Ireland;62;70;;72;84;;151;;43;;;101;;87;;;
Northern Mariana Is. ;156;;191;;;;69;;;31;;267;;;;482;
Norway;59;;65;;66;;;;;90;;72;;71;;;63
Oman;;55;;;;;142;;;;;36;;;;;
Pakistan;59;;;57;;55;;;;73;;;;43;;;43
Palau;523;;;478;;;;;;;;343;;;;395;
Panama;354;354;;;364;;295;;40;;;411;;392;;;390
Papua New Guinea;66;;;69;;;;;378;;;61;;;63;;
Paraguay;;86;;;;;97;;349;;;158;;;;199;
Peru;104;114;;;126;;146;;61;;;;;242;;;270
Philippines;;;;108;;;;97;;;;121;;;;;179
Poland;213;218;;;230;;221;;;159;;217;;191;;;194
Portugal;131;137;;;121;;104;111;;;;136;;138;;;127
